customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,t,2006-02-14,2006-02-15 09:57:20,1
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,t,2006-02-14,2006-02-15 09:57:20,1
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,t,2006-02-14,2006-02-15 09:57:20,1
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,t,2006-02-14,2006-02-15 09:57:20,1
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,t,2006-02-14,2006-02-15 09:57:20,1
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,t,2006-02-14,2006-02-15 09:57:20,1
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,t,2006-02-14,2006-02-15 09:57:20,1
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,t,2006-02-14,2006-02-15 09:57:20,1
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,t,2006-02-14,2006-02-15 09:57:20,1
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,t,2006-02-14,2006-02-15 09:57:20,1
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,t,2006-02-14,2006-02-15 09:57:20,1
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,t,2006-02-14,2006-02-15 09:57:20,1
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,t,2006-02-14,2006-02-15 09:57:20,1
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,t,2006-02-14,2006-02-15 09:57:20,1
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,t,2006-02-14,2006-02-15 09:57:20,1
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,t,2006-02-14,2006-02-15 09:57:20,0
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,t,2006-02-14,2006-02-15 09:57:20,1
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,t,2006-02-14,2006-02-15 09:57:20,1
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,t,2006-02-14,2006-02-15 09:57:20,1
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,t,2006-02-14,2006-02-15 09:57:20,1
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,t,2006-02-14,2006-02-15 09:57:20,1
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,t,2006-02-14,2006-02-15 09:57:20,1
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,t,2006-02-14,2006-02-15 09:57:20,1
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,t,2006-02-14,2006-02-15 09:57:20,1
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,t,2006-02-14,2006-02-15 09:57:20,1
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,t,2006-02-14,2006-02-15 09:57:20,1
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,t,2006-02-14,2006-02-15 09:57:20,1
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,t,2006-02-14,2006-02-15 09:57:20,1
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,t,2006-02-14,2006-02-15 09:57:20,1
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,t,2006-02-14,2006-02-15 09:57:20,1
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,t,2006-02-14,2006-02-15 09:57:20,1
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,t,2006-02-14,2006-02-15 09:57:20,1
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,t,2006-02-14,2006-02-15 09:57:20,1
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,t,2006-02-14,2006-02-15 09:57:20,1
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,t,2006-02-14,2006-02-15 09:57:20,1
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,t,2006-02-14,2006-02-15 09:57:20,1
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,t,2006-02-14,2006-02-15 09:57:20,1
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,t,2006-02-14,2006-02-15 09:57:20,1
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,t,2006-02-14,2006-02-15 09:57:20,1
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,t,2006-02-14,2006-02-15 09:57:20,1
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,t,2006-02-14,2006-02-15 09:57:20,1
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,t,2006-02-14,2006-02-15 09:57:20,1
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,t,2006-02-14,2006-02-15 09:57:20,1
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,t,2006-02-14,2006-02-15 09:57:20,1
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,t,2006-02-14,2006-02-15 09:57:20,1
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,t,2006-02-14,2006-02-15 09:57:20,1
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,t,2006-02-14,2006-02-15 09:57:20,1
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,t,2006-02-14,2006-02-15 09:57:20,1
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,t,2006-02-14,2006-02-15 09:57:20,1
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,t,2006-02-14,2006-02-15 09:57:20,1
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,t,2006-02-14,2006-02-15 09:57:20,1
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,t,2006-02-14,2006-02-15 09:57:20,1
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,t,2006-02-14,2006-02-15 09:57:20,1
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,t,2006-02-14,2006-02-15 09:57:20,1
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,t,2006-02-14,2006-02-15 09:57:20,1
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,t,2006-02-14,2006-02-15 09:57:20,1
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,t,2006-02-14,2006-02-15 09:57:20,1
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,t,2006-02-14,2006-02-15 09:57:20,1
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,t,2006-02-14,2006-02-15 09:57:20,1
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,t,2006-02-14,2006-02-15 09:57:20,1
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,t,2006-02-14,2006-02-15 09:57:20,1
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,t,2006-02-14,2006-02-15 09:57:20,1
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,t,2006-02-14,2006-02-15 09:57:20,1
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,t,2006-02-14,2006-02-15 09:57:20,0
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,t,2006-02-14,2006-02-15 09:57:20,1
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,t,2006-02-14,2006-02-15 09:57:20,1
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,t,2006-02-14,2006-02-15 09:57:20,1
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,t,2006-02-14,2006-02-15 09:57:20,1
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,t,2006-02-14,2006-02-15 09:57:20,1
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,t,2006-02-14,2006-02-15 09:57:20,1
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,t,2006-02-14,2006-02-15 09:57:20,1
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,t,2006-02-14,2006-02-15 09:57:20,1
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,t,2006-02-14,2006-02-15 09:57:20,1
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,t,2006-02-14,2006-02-15 09:57:20,1
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,t,2006-02-14,2006-02-15 09:57:20,1
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,t,2006-02-14,2006-02-15 09:57:20,1
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,t,2006-02-14,2006-02-15 09:57:20,1
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,t,2006-02-14,2006-02-15 09:57:20,1
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,t,2006-02-14,2006-02-15 09:57:20,1
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,t,2006-02-14,2006-02-15 09:57:20,1
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,t,2006-02-14,2006-02-15 09:57:20,1
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,t,2006-02-14,2006-02-15 09:57:20,1
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,t,2006-02-14,2006-02-15 09:57:20,1
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,88,t,2006-02-14,2006-02-15 09:57:20,1
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,t,2006-02-14,2006-02-15 09:57:20,1
86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,90,t,2006-02-14,2006-02-15 09:57:20,1
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,t,2006-02-14,2006-02-15 09:57:20,1
88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,92,t,2006-02-14,2006-02-15 09:57:20,1
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,t,2006-02-14,2006-02-15 09:57:20,1
